title,year,rating
Intolerance: Love's Struggle Throughout the Ages,1916,7.7
Broken Blossoms or The Yellow Man and the Girl,1919,7.2
"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das)",1920,8.0
"Four Horsemen of the Apocalypse, The",1921,7.1
"Kid, The",1921,8.2
Orphans of the Storm,1921,7.3
"Nosferatu (Nosferatu, eine Symphonie des Grauens)",1922,7.9
"Hunchback of Notre Dame, The",1923,7.2
Our Hospitality,1923,7.8
Safety Last!,1923,8.1
Three Ages,1923,7.0
Greed,1924,8.0
HE Who Gets Slapped,1924,7.8
"Last Laugh, The (Letzte Mann, Der)",1924,8.0
"Navigator, The",1924,7.5
"Saga of Gosta Berling, The (Gösta Berlings saga)",1924,7.0
Sherlock Jr.,1924,8.2
"Thief of Bagdad, The",1924,7.7
Battleship Potemkin,1925,7.9
Ben-Hur: A Tale of the Christ,1925,7.8
"Gold Rush, The",1925,8.1
"Lost World, The",1925,7.0
"Phantom of the Opera, The",1925,7.5
Seven Chances,1925,7.8
"Unholy Three, The",1925,7.2
Faust,1926,8.1
Flesh and the Devil,1926,7.6
"General, The",1926,8.1
"Scarlet Letter, The",1926,7.6
It,1927,7.2
"Lodger: A Story of the London Fog, The",1927,7.3
Metropolis,1927,8.3
Sunrise: A Song of Two Humans,1927,8.1
"Unknown, The (a.k.a. Alonzo the Armless)",1927,7.7
Wings,1927,7.5
"Cameraman, The",1928,8.0
"Crowd, The",1928,8.1
"Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La)",1928,8.1
Speedy,1928,7.6
Spies (Spione),1928,7.5
"Steamboat Bill, Jr.",1928,7.8
Steamboat Willie,1928,7.5
"Wind, The",1928,8.0
"Woman of Affairs, A",1928,7.1
"Andalusian Dog, An (Chien andalou, Un)",1929,7.6
"Pandora's Box (Büchse der Pandora, Die)",1929,7.8
All Quiet on the Western Front,1930,8.1
Animal Crackers,1930,7.4
"Big Trail, The",1930,7.2
"Blue Angel, The (Blaue Engel, Der)",1930,7.7
Hell's Angels,1930,7.3
Morocco,1930,7.0
Westfront 1918,1930,7.3
"Champ, The",1931,7.2
City Lights,1931,8.5
City Streets,1931,7.0
Dr. Jekyll and Mr. Hyde,1931,7.6
Dracula,1931,7.4
Frankenstein,1931,7.8
Little Caesar,1931,7.2
M,1931,8.3
Monkey Business,1931,7.4
Night Nurse,1931,7.0
"Public Enemy, The",1931,7.6
À nous la liberté (Freedom for Us),1931,7.4
Freaks,1932,7.8
Grand Hotel,1932,7.3
Horse Feathers,1932,7.5
I Am a Fugitive from a Chain Gang,1932,8.2
Jewel Robbery,1932,7.2
"Most Dangerous Game, The",1932,7.1
"Mummy, The",1932,7.0
"Old Dark House, The",1932,7.0
Red Dust,1932,7.2
Red-Headed Woman,1932,7.0
Scarface,1932,7.7
Shanghai Express,1932,7.3
Vampyr,1932,7.4
42nd Street,1933,7.3
Baby Face,1933,7.5
